date,code,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2020-01-02,000061,5.63,5.66,5.68,5.59,133655,75381207.0,1.61,1.25,0.07,0.79
2020-01-03,000061,5.67,5.77,5.81,5.64,168124,96145236.0,3.0,1.94,0.11,0.99
2020-01-06,000061,5.74,5.73,5.79,5.67,147789,84552663.0,2.08,-0.69,-0.04,0.87
2020-01-07,000061,5.74,5.75,5.76,5.69,97239,55708183.0,1.22,0.35,0.02,0.57
2020-01-08,000061,5.75,5.65,5.75,5.62,105045,59710263.0,2.26,-1.74,-0.1,0.62
2020-01-09,000061,5.68,5.68,5.74,5.64,72741,41316911.0,1.77,0.53,0.03,0.43
2020-01-10,000061,5.71,5.65,5.72,5.61,54728,30963408.0,1.94,-0.53,-0.03,0.32
2020-01-13,000061,5.66,5.67,5.68,5.59,52204,29402267.0,1.59,0.35,0.02,0.31
2020-01-14,000061,5.67,5.67,5.71,5.66,57534,32677411.0,0.88,0.0,0.0,0.34
2020-01-15,000061,5.7,5.56,5.7,5.56,60254,33729699.0,2.47,-1.94,-0.11,0.36
2020-01-16,000061,5.57,5.57,5.62,5.55,54404,30410498.0,1.26,0.18,0.01,0.32
2020-01-17,000061,5.59,5.54,5.62,5.52,42200,23492754.0,1.8,-0.54,-0.03,0.25
2020-01-20,000061,5.56,5.6,5.67,5.55,77900,43602494.0,2.17,1.08,0.06,0.46
2020-01-21,000061,5.58,5.46,5.58,5.44,63815,35021433.0,2.5,-2.5,-0.14,0.38
2020-01-22,000061,5.45,5.42,5.45,5.28,68940,37062229.0,3.11,-0.73,-0.04,0.41
2020-01-23,000061,5.4,5.21,5.4,5.18,89838,47516549.0,4.06,-3.87,-0.21,0.53
2020-02-03,000061,4.69,4.69,4.69,4.69,19999,9379531.0,0.0,-9.98,-0.52,0.12
2020-02-04,000061,4.24,4.52,4.56,4.24,156092,69547597.0,6.82,-3.62,-0.17,0.92
2020-02-05,000061,4.5,4.65,4.74,4.5,132852,61487653.0,5.31,2.88,0.13,0.78
2020-02-06,000061,4.75,5.12,5.12,4.75,147097,73346055.0,7.96,10.11,0.47,0.87
2020-02-07,000061,5.62,5.44,5.63,5.31,384412,209895540.0,6.25,6.25,0.32,2.27
2020-02-10,000061,5.29,5.98,5.98,5.08,505352,289979440.0,16.54,9.93,0.54,2.98
