date,long,short,ls_gross,turnover,cost_bps,ls_net,overlap_long,overlap_short,long_turnover,short_turnover,added_long,removed_long,added_short,removed_short,cum_ls_net,cum_ls_gross,drawdown
2022-02-07,0.009643103418157176,0.009643103418157176,0.0,2.0,0.0005,-0.001,0.0,0.0,1.0,1.0,16,0,16,0,-0.001,0.0,0.0
2022-02-08,0.0074814684727791065,0.0074814684727791065,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-02-10,-0.00020265198376240626,-0.00020265198376240626,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-02-11,-0.015963249409229087,-0.015963249409229087,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-08,-0.014623754132221532,-0.014623754132221532,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-09,0.010504996972062506,0.010504996972062506,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-10,0.012588234826164406,0.012588234826164406,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-11,-0.028332408639249126,-0.028332408639249126,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-14,-0.05396939217955798,-0.05396939217955798,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-15,0.03860099938021728,0.03860099938021728,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-23,-0.013002232165727275,-0.013002232165727275,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-24,-0.012661557486342468,-0.012661557486342468,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-25,0.0009754245380740002,0.0009754245380740002,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-28,-0.009928555362921844,-0.009928555362921844,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-29,0.03169999708480924,0.03169999708480924,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
2022-03-30,-0.004495694264322569,-0.004495694264322569,0.0,0.0,0.0005,0.0,1.0,1.0,0.0,0.0,0,0,0,0,-0.001,0.0,0.0
