factor,ic_mean,ic_std,t,p,win_rate,n_days
momentum_21d_std,-0.07388967487854767,0.25820430177937403,-2.7892155951041233,0.006396284056976336,0.37894736842105264,95
momentum_60d_std,-0.06250393696404845,0.2723630565680886,-2.23676818363648,0.027665644199301693,0.45263157894736844,95
dist_to_high_252_std,-0.059982884169600584,0.20947901122218981,-2.7909279922534975,0.006365160837134919,0.4105263157894737,95
momentum_5d_std,-0.04589520895078388,0.23090977699971738,-1.937255186279417,0.055716336315502775,0.3894736842105263,95
illiq_std,0.04504746257636082,0.13933551954773343,3.1511588352519935,0.0021818300375428465,0.6421052631578947,95
volatility_21d_std,0.03607174649158428,0.2936351203224896,1.197349602886138,0.23418105022232655,0.5263157894736842,95
volume_trend_20_60_std,-0.035778921072623496,0.13811431929428494,-2.5249357731761495,0.013246660315396489,0.3684210526315789,95
atr14_std,0.03429420353822154,0.2888034532548173,1.1573911092092861,0.2500451438041731,0.5157894736842106,95
volume_ratio_std,-0.03106202690426167,0.15590199455513823,-1.9419584017039973,0.055136026909568724,0.43157894736842106,95
breakout_high_63_std,-0.027883012781764315,0.12050334865846522,-2.2433886017448117,0.027245718458714117,0.44680851063829785,94
gk_vol_21d_std,0.020980401456413705,0.28232128418479036,0.7243224996573302,0.4706667351262841,0.5157894736842106,95
roll_spread_21_std,-0.019166493620313956,0.11084027151100663,-1.6854151391152306,0.09522558599302595,0.5157894736842106,95
dist_to_low_252_std,-0.014186177500480825,0.2556752301762749,-0.5408023082283442,0.5899230933133242,0.4631578947368421,95
vol_ratio_21_63_std,-0.011878596627066177,0.13081384242195282,-0.8850610629989862,0.37838209533002276,0.45263157894736844,95
momentum_250d_std,-0.011530647843008971,0.18006248600340616,-0.6241547347407919,0.53403784811568,0.5263157894736842,95
turnover_rate_std,0.011419471917888982,0.271712888906969,0.40963549707829255,0.6830053428826124,0.5578947368421052,95
amplitude_hl_std,-0.010293740225117727,0.25247924337511785,-0.3973830389852862,0.6919859339012431,0.43157894736842106,95
zero_ret_ratio_21_std,-0.00616015158577361,0.11137363903851114,-0.5391018122216763,0.5910911858542627,0.49473684210526314,95
obv_std,0.005082519972430035,0.13861716629450554,0.35737476280110086,0.7216123841773663,0.5684210526315789,95
