factor,ic_mean,ic_std,t,p,win_rate,n_days
gk_vol_21d_std,-0.05847960417301295,0.19164340835539154,-6.622485129990269,9.676166219460334e-11,0.39278131634819535,471
atr14_std,-0.05784331359095879,0.1929856711097542,-6.504868970949809,1.9935512004185107e-10,0.3991507430997877,471
turnover_rate_std,-0.05296412608799594,0.17857710366501037,-6.436747743986096,3.0158295740784923e-10,0.3842887473460722,471
volatility_21d_std,-0.05284922538759474,0.17730024387566393,-6.46903866383279,2.479560868169356e-10,0.4033970276008493,471
amplitude_hl_std,-0.05052398697637661,0.1513073808860448,-7.246828011144814,1.7626876074328552e-12,0.37791932059447986,471
zero_ret_ratio_21_std,0.029332305674424432,0.12002694317809201,5.303687292967212,1.75061546788339e-07,0.6050955414012739,471
dist_to_low_252_std,-0.02735422409340638,0.17979876062343142,-3.3017802108465597,0.001033927036240678,0.4437367303609342,471
illiq_std,0.02428590897010248,0.1210279051198395,4.354911164347984,1.635288186809145e-05,0.5753715498938429,471
dist_to_high_252_std,0.020263191738836183,0.19025991839054102,2.3113781387793635,0.021243678554156584,0.5435244161358811,471
volume_trend_20_60_std,-0.01954153010420507,0.14530371605986206,-2.918719087804503,0.0036833538777253467,0.4288747346072187,471
volume_ratio_std,-0.019496543867593787,0.11764169190488373,-3.596721599233115,0.00035638312387338794,0.4267515923566879,471
breakout_high_63_std,-0.013535976840523187,0.09321129689586335,-3.117967002679418,0.0019352277127644214,0.4685466377440347,461
vol_ratio_21_63_std,-0.01321584137108215,0.12084244663070845,-2.3734810090792555,0.018022402494495986,0.4416135881104034,471
momentum_5d_std,-0.011086870906731126,0.166010328512891,-1.4493869119749356,0.14789645616197938,0.46496815286624205,471
roll_spread_21_std,-0.00852875791453451,0.09830621117330839,-1.8828480921143809,0.0603383186803763,0.47770700636942676,471
momentum_21d_std,-0.008420097182144233,0.1808417958672792,-1.0104823831798033,0.31278415611114635,0.45222929936305734,471
obv_std,0.004005599354035374,0.1178328509846026,0.737754005815003,0.4610321175565705,0.5138004246284501,471
breakout_low_63_std,0.0035205811898396085,0.10040041790179714,0.73386453274152,0.46342484291600494,0.5319634703196348,438
momentum_60d_std,-0.002775910643092664,0.184117196335941,-0.32720624396523135,0.743657579276189,0.4819532908704883,471
momentum_250d_std,3.9240568271655444e-05,0.17477735887619275,0.004872597851487446,0.996114312223451,0.4968152866242038,471
