factor,ic_mean,ic_std,t,p,win_rate,n_days
gk_vol_21d_std,-0.054164428076379015,0.2347514471043205,-4.341177212606596,1.8535985842211574e-05,0.4350282485875706,354
atr14_std,-0.05192242960558237,0.2367639481733756,-4.126112488117865,4.6064502127496075e-05,0.4322033898305085,354
amplitude_hl_std,-0.04873086021843061,0.19083748683136825,-4.804431659841963,2.2985877307072984e-06,0.4096045197740113,354
turnover_rate_std,-0.045462581952359714,0.19708307483378706,-4.340166580603501,1.8617086003539378e-05,0.403954802259887,354
volatility_21d_std,-0.043625245460413395,0.21807707657278275,-3.7638256532585164,0.00019590972069228902,0.4322033898305085,354
dist_to_low_252_std,-0.030901895061047617,0.212998209341612,-2.7296740558281205,0.006657397906153281,0.4689265536723164,354
zero_ret_ratio_21_std,0.026611482561100307,0.12372140130918181,4.046931664295173,6.37953432758919e-05,0.5932203389830508,354
illiq_std,0.02230154289674138,0.13396609995037065,3.1321433242444128,0.001880357551838695,0.5621468926553672,354
volume_ratio_std,-0.01848149988933962,0.12190980219754387,-2.852332946884868,0.004595551057206796,0.4350282485875706,354
volume_trend_20_60_std,-0.01846774153363756,0.15447134463948728,-2.2494041483838547,0.02510257342719457,0.4406779661016949,354
roll_spread_21_std,-0.01704113482402064,0.10955231543698653,-2.9267025264993034,0.0036477035912258282,0.4378531073446328,354
momentum_60d_std,-0.011391186576200557,0.22857220032445247,-0.9376638810403146,0.3490582565227399,0.5141242937853108,354
breakout_high_63_std,-0.010706614875215462,0.11314874439360666,-1.7626544408442233,0.07884160787018578,0.44668587896253603,347
momentum_250d_std,-0.010451411420328358,0.1911821622653251,-1.0285589935915371,0.3043912029202738,0.5028248587570622,354
vol_ratio_21_63_std,-0.010049578068341865,0.12819339796549473,-1.4749720813430593,0.1411113686234516,0.4689265536723164,354
breakout_low_63_std,-0.007636736258348442,0.10974541232532449,-1.2232089703225573,0.2221858236462099,0.4854368932038835,309
obv_std,-0.005967572125764157,0.1290844360748476,-0.8698120620478169,0.3849941791521282,0.4858757062146893,354
momentum_5d_std,-0.005177242722482806,0.16544440444533326,-0.5887732550448147,0.5563899426365648,0.4576271186440678,354
momentum_21d_std,-0.0034601907948434295,0.20395238311586422,-0.31920735765797376,0.7497580879590466,0.5112994350282486,354
dist_to_high_252_std,-8.026498589573292e-05,0.20311049786600446,-0.007435246890343508,0.9940717860487428,0.5141242937853108,354
