code,name,行业,总市值_亿元,流通市值_亿元,样本标识,更新时间
601138,工业富联,消费电子,1312030088770.0,1312030088770.0,扩展500只,2025-09-26 11:54:53
000333,美的集团,家电行业,568673970956.0,512966304076.0,扩展500只,2025-09-26 11:54:53
002415,海康威视,计算机设备,281728151447.0,278087368925.0,扩展500只,2025-09-26 11:54:53
688981,中芯国际,半导体,1058780726691.0,264662098986.0,扩展500只,2025-09-26 11:54:53
601601,中国太保,保险,334018255318.0,237659839318.0,扩展500只,2025-09-26 11:54:53
000651,格力电器,家电行业,222711892262.0,219282584946.0,扩展500只,2025-09-26 11:54:53
600031,三一重工,工程机械,190758519733.0,190758519733.0,扩展500只,2025-09-26 11:54:53
601766,中国中车,交运设备,211510628329.0,179295871614.0,扩展500只,2025-09-26 11:54:53
605499,东鹏饮料,食品饮料,150491762200.0,150491762200.0,扩展500只,2025-09-26 11:54:53
300014,亿纬锂能,电池,160957367384.0,146457677947.0,扩展500只,2025-09-26 11:54:53
601888,中国中免,旅游酒店,144096032415.0,135989921640.0,扩展500只,2025-09-26 11:54:53
000617,中油资本,多元金融,133626775865.0,133626775865.0,扩展500只,2025-09-26 11:54:53
601881,中国银河,证券,185775494329.0,123065665415.0,扩展500只,2025-09-26 11:54:53
600989,宝丰能源,化学原料,122247111200.0,122247111200.0,扩展500只,2025-09-26 11:54:53
600905,三峡能源,电力行业,121497513104.0,121497513104.0,扩展500只,2025-09-26 11:54:53
002230,科大讯飞,软件开发,126403350329.0,119699741995.0,扩展500只,2025-09-26 11:54:53
000166,申万宏源,证券,129706912821.0,116733927897.0,扩展500只,2025-09-26 11:54:53
601390,中国中铁,工程建设,136075549055.0,112611718676.0,扩展500只,2025-09-26 11:54:53
600415,小商品城,商业百货,102818361113.0,102803634863.0,扩展500只,2025-09-26 11:54:53
601800,中国交建,工程建设,140972774941.0,102001266369.0,扩展500只,2025-09-26 11:54:53
300033,同花顺,软件开发,195976704000.0,100432804498.0,扩展500只,2025-09-26 11:54:53
600886,国投电力,电力行业,104778829890.0,97575213543.0,扩展500只,2025-09-26 11:54:53
688521,芯原股份,半导体,101094662398.0,96313999594.0,扩展500只,2025-09-26 11:54:53
000895,双汇发展,食品饮料,85646425185.0,85635324768.0,扩展500只,2025-09-26 11:54:53
001979,招商蛇口,房地产开发,90517753408.0,84499596220.0,扩展500只,2025-09-26 11:54:53
600703,三安光电,光学光电子,76581437459.0,76581437459.0,扩展500只,2025-09-26 11:54:53
