code,name,float_market_cap,total_market_cap,pe_ttm,pb,turnover_rate,amount,volume_ratio,industry,selected,selection_timestamp
601288,农业银行,2161283306960.0,2369385139320.0,8.49,0.88,0.15,3221059533.0,1.47,银行,1,2025-09-18T14:20:04
601398,工商银行,1970865273660.0,2605329739321.0,7.75,0.69,0.15,3039116801.0,1.45,银行,1,2025-09-18T14:20:04
600519,贵州茅台,1839584945835.0,1839584945835.0,20.26,7.71,0.29,5457027999.0,1.38,酿酒行业,1,2025-09-18T14:20:04
300750,宁德时代,1560991452099.0,1673715890523.0,27.45,5.68,0.96,15276790050.89,1.04,电池,1,2025-09-18T14:20:04
601857,中国石油,1332618700442.0,1506262647442.0,8.97,0.97,0.12,1662396227.0,1.4,石油行业,1,2025-09-18T14:20:04
601138,工业富联,1299122270431.0,1299122270431.0,53.62,8.57,1.38,17612550379.0,1.36,消费电子,1,2025-09-18T14:20:04
601988,中国银行,1121272538981.0,1714170030850.0,7.29,0.65,0.13,1456368597.0,1.1,银行,1,2025-09-18T14:20:04
600036,招商银行,843104958813.0,1030735089713.0,6.88,0.97,0.39,3330998863.0,1.34,银行,1,2025-09-18T14:20:04
601628,中国人寿,805245905100.0,1092996142350.0,13.35,2.09,0.07,561346847.0,1.02,保险,1,2025-09-18T14:20:04
600900,长江电力,655398102532.0,667982343647.0,25.58,3.23,0.48,3172002735.0,1.78,电力行业,1,2025-09-18T14:20:04
601088,中国神华,630782201779.0,759970888279.0,15.42,1.89,0.17,1050719381.0,0.84,煤炭行业,1,2025-09-18T14:20:04
601318,中国平安,590247803646.0,1002620137263.0,7.37,1.06,0.79,4719712481.0,1.56,保险,1,2025-09-18T14:20:04
601728,中国电信,529434749727.0,624078685927.0,13.56,1.34,0.18,982049941.0,1.08,通信服务,1,2025-09-18T14:20:04
600028,中国石化,513094272444.0,655570890106.0,15.26,0.79,0.13,691934592.0,0.93,石油行业,1,2025-09-18T14:20:04
000333,美的集团,509181079928.0,564482341240.0,10.85,2.61,0.76,3886101754.57,1.22,家电行业,1,2025-09-18T14:20:04
601899,紫金矿业,503580971796.0,650087458572.0,13.96,4.63,1.02,5195070713.0,0.94,有色金属,1,2025-09-18T14:20:04
000858,五 粮 液,481803707275.0,481824001661.0,12.36,3.43,0.55,2676362695.04,1.24,酿酒行业,1,2025-09-18T14:20:04
300308,中际旭创,455742573705.0,458058533192.0,57.33,20.07,4.55,20482146580.4,1.34,通信设备,1,2025-09-18T14:20:04
600276,恒瑞医药,454376331977.0,472767747025.0,53.12,8.09,1.13,5141434212.0,0.98,化学制药,1,2025-09-18T14:20:04
601166,兴业银行,428759059730.0,428759059730.0,4.97,0.58,0.53,2299108890.0,1.44,银行,1,2025-09-18T14:20:04
601658,邮储银行,407432938864.0,728976974696.0,7.4,0.74,0.19,769521209.0,1.37,银行,1,2025-09-18T14:20:04
600000,浦发银行,388227149076.0,388227149076.0,6.53,0.56,0.28,1102078285.0,1.12,银行,1,2025-09-18T14:20:04
002475,立讯精密,385325140431.0,386024818440.0,29.05,5.2,3.87,14811464365.79,1.24,消费电子,1,2025-09-18T14:20:04
002594,比亚迪,383526855694.0,1002709388199.0,32.32,4.76,2.26,8765669956.52,1.36,汽车整车,1,2025-09-18T14:20:04
300059,东方财富,362500060817.0,428289420993.0,38.46,5.0,5.45,19990857510.95,1.52,互联网服务,1,2025-09-18T14:20:04
600030,中信证券,346422875210.0,421644557285.0,15.37,1.55,2.61,9138185729.0,1.87,证券,1,2025-09-18T14:20:04
